name,closed_bucket,distance,address,postcode,latitude,longitude,region
Las Palmas Super Burritos and Heros,Unsure,33,3221 Adeline St,94703,37.850052,-122.270523,"San Francisco Bay Area, CA"
Washingtown,LikelyOpen,56,3215 Adeline St,94703,37.850193,-122.270387,"San Francisco Bay Area, CA"
Vault Cafe,LikelyOpen,66,3250 Adeline St,94703,37.849484,-122.271567,"San Francisco Bay Area, CA"
Domino's Pizza,VeryLikelyOpen,113,3264 Adeline St,94703,37.849278,-122.271698,"San Francisco Bay Area, CA"
Rasa Caffe,LikelyOpen,141,3140 Martin Luther King Jr Way,94703,37.850958,-122.271077,"San Francisco Bay Area, CA"
"44 Restaurant, Bar & Lounge",Unsure,147,3290 Adeline St,94703,37.848877,-122.271819,"San Francisco Bay Area, CA"
Sweet Adeline Bakeshop,Unsure,275,3350 Adeline St,94703,37.847533,-122.272315,"San Francisco Bay Area, CA"
Subway,VeryLikelyOpen,409,6341 Shattuck Ave,94609,37.849356,-122.265888,"San Francisco Bay Area, CA"
Nomad Cafe,LikelyOpen,425,6500 Shattuck Ave,94609,37.850483,-122.265666,"San Francisco Bay Area, CA"
Berkeley Flea Market,VeryLikelyOpen,435,1937 Ashby Ave,94703,37.8546,-122.270426,"San Francisco Bay Area, CA"
